"p","a","b","x"
-1.3900000000000001,2,0,0
-1.3900000000000001,0,0,0
-1.38,-2,-0.1,-0.08175445895264546
-1.38,2,-0.1,-0.06595202305565143
-1.38,0,-0.1,-0.07219113877638816
-1.38,-2,0.1,0.06595202305565143
-1.38,2,0.1,0.08175445895264546
-1.38,0,0.1,0.07219113877638816
-1.38,-2,0,0
-1.38,2,0,0
-1.38,0,0,0
-1.37,-2,-0.1,-0.08252450487351526
-1.37,2,-0.1,-0.06635228125366142
-1.37,0,-0.1,-0.0727120931660103
-1.37,-2,0.1,0.06635228125366142
-1.37,2,0.1,0.08252450487351526
-1.37,0,0.1,0.0727120931660103
-1.37,-2,0,0
-1.37,2,0,0
-1.37,0,0,0
-1.3599999999999999,-2,-0.1,-0.08331123567834411
-1.3599999999999999,2,-0.1,-0.06675698995883596
-1.3599999999999999,0,-0.1,-0.07324053302508662
-1.3599999999999999,-2,0.1,0.06675698995883596
-1.3599999999999999,2,0.1,0.08331123567834411
-1.3599999999999999,0,0.1,0.07324053302508662
-1.3599999999999999,-2,0,0
-1.3599999999999999,2,0,0
-1.3599999999999999,0,0,0
-1.35,-2,-0.1,-0.08411526556332781
-1.35,2,-0.1,-0.06716621616409707
-1.35,0,-0.1,-0.07377661825831969
-1.35,-2,0.1,0.06716621616409707
-1.35,2,0.1,0.08411526556332781
-1.35,0,0.1,0.07377661825831969
-1.35,-2,0,0
-1.35,2,0,0
-1.35,0,0,0
-1.3399999999999999,-2,-0.1,-0.08493724214942436
-1.3399999999999999,2,-0.1,-0.06758002803441676
-1.3399999999999999,0,-0.1,-0.07432051326077868
-1.3399999999999999,-2,0.1,0.06758002803441676
-1.3399999999999999,2,0.1,0.08493724214942436
-1.3399999999999999,0,0.1,0.07432051326077868
-1.3399999999999999,-2,0,0
-1.3399999999999999,2,0,0
-1.3399999999999999,0,0,0
-1.33,-2,-0.1,-0.08577784895332805
-1.33,2,-0.1,-0.06799849492720178
-1.33,0,-0.1,-0.07487238707225233
-1.33,-2,0.1,0.06799849492720178
-1.33,2,0.1,0.08577784895332805
-1.33,0,0.1,0.07487238707225233
-1.33,-2,0,0
-1.33,2,0,0
-1.33,0,0,0
-1.3199999999999998,-2,-0.1,-0.08663780809294734
-1.3199999999999998,2,-0.1,-0.0684216874129016
-1.3199999999999998,0,-0.1,-0.07543241353777763
-1.3199999999999998,-2,0.1,0.0684216874129016
-1.3199999999999998,2,0.1,0.08663780809294734
-1.3199999999999998,0,0.1,0.07543241353777763
-1.3199999999999998,-2,0,0
-1.3199999999999998,2,0,0
-1.3199999999999998,0,0,0
-1.31,-2,-0.1,-0.08751788325484972
-1.31,2,-0.1,-0.06884967729583116
-1.31,0,-0.1,-0.07600077147461991
-1.31,-2,0.1,0.06884967729583116
-1.31,2,0.1,0.08751788325484972
-1.31,0,0.1,0.07600077147461991
-1.31,-2,0,0
-1.31,2,0,0
-1.31,0,0,0
-1.2999999999999998,-2,-0.1,-0.08841888295499742
-1.2999999999999998,2,-0.1,-0.06928253763520044
-1.2999999999999998,0,-0.1,-0.07657764484599255
-1.2999999999999998,-2,0.1,0.06928253763520044
-1.2999999999999998,2,0.1,0.08841888295499742
-1.2999999999999998,0,0.1,0.07657764484599255
-1.2999999999999998,-2,0,0
-1.2999999999999998,2,0,0
-1.2999999999999998,0,0,0
-1.29,-2,-0.1,-0.08934166412859026
-1.29,2,-0.1,-0.06972034276634029
-1.29,0,-0.1,-0.0771632229418186
-1.29,-2,0.1,0.06972034276634029
-1.29,2,0.1,0.08934166412859026
-1.29,0,0.1,0.0771632229418186
-1.29,-2,0,0
-1.29,2,0,0
-1.29,0,0,0
-1.28,-2,-0.1,-0.09028713609008648
-1.28,2,-0.1,-0.07016316832211461
-1.28,0,-0.1,-0.0777577005668511
-1.28,-2,0.1,0.07016316832211461
-1.28,2,0.1,0.09028713609008648
-1.28,0,0.1,0.0777577005668511
-1.28,-2,0,0
-1.28,2,0,0
-1.28,0,0,0
-1.27,-2,-0.1,-0.09125626491062852
-1.27,2,-0.1,-0.07061109125450662
-1.27,0,-0.1,-0.07836127823648295
-1.27,-2,0.1,0.07061109125450662
-1.27,2,0.1,0.09125626491062852
-1.27,0,0.1,0.07836127823648295
-1.27,-2,0,0
-1.27,2,0,0
-1.27,0,0,0
-1.26,-2,-0.1,-0.09225007826734627
-1.26,2,-0.1,-0.07106418985636687
-1.26,0,-0.1,-0.0789741623805939
-1.26,-2,0.1,0.07106418985636687
-1.26,2,0.1,0.09225007826734627
-1.26,0,0.1,0.0789741623805939
-1.26,-2,0,0
-1.26,2,0,0
-1.26,0,0,0
-1.25,-2,-0.1,-0.0932696708275621
-1.25,2,-0.1,-0.07152254378330852
-1.25,0,-0.1,-0.07959656555579778
-1.25,-2,0.1,0.07152254378330852
-1.25,2,0.1,0.0932696708275621
-1.25,0,0.1,0.07959656555579778
-1.25,-2,0,0
-1.25,2,0,0
-1.25,0,0,0
-1.24,-2,-0.1,-0.09431621024105469
-1.24,2,-0.1,-0.07198623407573515
-1.24,0,-0.1,-0.08022870666647053
-1.24,-2,0.1,0.07198623407573515
-1.24,2,0.1,0.09431621024105469
-1.24,0,0.1,0.08022870666647053
-1.24,-2,0,0
-1.24,2,0,0
-1.24,0,0,0
-1.23,-2,-0.1,-0.09539094382559363
-1.23,2,-0.1,-0.07245534318098396
-1.23,0,-0.1,-0.08087081119495707
-1.23,-2,0.1,0.07245534318098396
-1.23,2,0.1,0.09539094382559363
-1.23,0,0.1,0.08087081119495707
-1.23,-2,0,0
-1.23,2,0,0
-1.23,0,0,0
-1.22,-2,-0.1,-0.09649520604535175
-1.22,2,-0.1,-0.07292995497556712
-1.22,0,-0.1,-0.08152311144137406
-1.22,-2,0.1,0.07292995497556712
-1.22,2,0.1,0.09649520604535175
-1.22,0,0.1,0.08152311144137406
